WARDNAME,Ward Code,Usually Resident Population,Usually Resident Population (%)
Drumnamoe,95LL14,"2,651",0.15
Edenderry (Craigavon LGD),95LL15,"3,048",0.17
Kernan,95LL16,"6,107",0.34
Killycomain,95LL17,"2,539",0.14
Knocknashane,95LL18,"3,351",0.19
Magheralin,95LL19,"5,148",0.28
Mourneview,95LL20,"2,401",0.13
Parklake,95LL21,"3,983",0.22
Taghnevan,95LL22,"3,728",0.21
Tavanagh,95LL23,"2,157",0.12
The Birches,95LL24,"3,769",0.21
Waringstown,95LL25,"4,536",0.25
Woodville,95LL26,"3,698",0.2
Altnagelvin,95MM01,"4,862",0.27
Ballynashallog,95MM02,"3,244",0.18
Banagher,95MM03,"3,508",0.19
Beechwood,95MM04,"2,151",0.12
Brandywell,95MM05,"2,495",0.14
Carn Hill,95MM06,"2,603",0.14
Caw,95MM07,"2,601",0.14
Clondermot,95MM08,"2,947",0.16
Claudy,95MM09,"3,562",0.2
Creggan Central,95MM10,"2,750",0.15
Creggan South,95MM11,"2,277",0.13
Crevagh,95MM12,"5,858",0.32
Culmore,95MM13,"8,872",0.49
Ebrington,95MM14,"2,569",0.14
Eglinton,95MM15,"4,401",0.24
Enagh (Derry LGD),95MM16,"5,745",0.32
Foyle Springs,95MM17,"3,749",0.21
Holly Mount,95MM18,"5,180",0.29
Kilfennan,95MM19,"3,044",0.17
Lisnagelvin,95MM20,"3,366",0.19
New Buildings,95MM21,"3,406",0.19
Pennyburn,95MM22,"2,492",0.14
Rosemount,95MM23,"2,521",0.14
Shantallow East,95MM24,"2,503",0.14
Shantallow West,95MM25,"6,363",0.35
Springtown,95MM26,"3,131",0.17
Strand (Derry LGD),95MM27,"3,833",0.21
The Diamond,95MM28,"2,351",0.13
Victoria (Derry LGD),95MM29,"3,410",0.19
Westland,95MM30,"2,083",0.12
Ardglass,95NN01,"3,178",0.18
Audley's Acre,95NN02,"2,211",0.12
Ballymaglave,95NN03,"2,896",0.16
Ballymote,95NN04,"2,934",0.16
Ballynahinch East,95NN05,"2,497",0.14
Castlewellan,95NN06,"3,542",0.2
Cathedral,95NN07,"3,258",0.18
Crossgar,95NN08,"3,269",0.18
Derryboy,95NN09,"3,021",0.17
Donard,95NN10,"3,193",0.18
Drumaness,95NN11,"3,876",0.21
Dundrum,95NN12,"2,851",0.16
Dunmore,95NN13,"3,058",0.17
Killough,95NN14,"3,559",0.2
Killyleagh,95NN15,"2,994",0.17
Kilmore,95NN16,"3,294",0.18
Murlough,95NN17,"2,256",0.12
Quoile,95NN18,"2,702",0.15
Saintfield,95NN19,"3,381",0.19
Seaforde,95NN20,"3,001",0.17
Shimna,95NN21,"2,687",0.15
Strangford,95NN22,"2,686",0.15
Tollymore,95NN23,"3,387",0.19
Altmore,95OO01,"2,592",0.14
Augher,95OO02,"2,166",0.12
Aughnacloy,95OO03,"2,651",0.15
Ballygawley,95OO04,"2,515",0.14
Ballysaggart,95OO05,"2,730",0.15
Benburb,95OO06,"2,860",0.16
Caledon,95OO07,"2,510",0.14
Castlecaulfield,95OO08,"2,713",0.15
Clogher,95OO09,"2,252",0.12
Coalisland North,95OO10,"3,530",0.19
Coalisland South,95OO11,"2,485",0.14
Coalisland West and Newmills,95OO12,"2,803",0.15
Coolhill,95OO13,"2,716",0.15
Donaghmore (Dungannon LGD),95OO14,"2,588",0.14
Drumglass,95OO15,"2,357",0.13
Fivemiletown,95OO16,"2,114",0.12
Killyman,95OO17,"2,724",0.15
Killymeal,95OO18,"2,891",0.16
Moy,95OO19,"3,009",0.17
Moygashel,95OO20,"2,189",0.12
Mullaghmore,95OO21,"2,351",0.13
Washing Bay,95OO22,"3,106",0.17
Ballinamallard,95PP01,"2,586",0.14
Belcoo and Garrison,95PP02,"2,541",0.14
Belleek and Boa,95PP03,"2,540",0.14
Boho Cleenish and Letterbreen,95PP04,"3,185",0.18
Brookeborough,95PP05,"2,367",0.13
Castlecoole,95PP06,"3,876",0.21
Derrygonnelly,95PP07,"2,812",0.16
Derrylin,95PP08,"2,678",0.15
Devenish,95PP09,"1,707",0.09
Donagh,95PP10,"2,387",0.13
Erne,95PP11,"2,627",0.15
Florence Court and Kinawley,95PP12,"2,630",0.15
Irvinestown,95PP13,"2,588",0.14
Kesh Ederney and Lack,95PP14,"3,652",0.2
Lisbellaw,95PP15,"3,190",0.18
Lisnarrick,95PP16,"1,908",0.11
Lisnaskea,95PP17,"2,580",0.14
Maguiresbridge,95PP18,"3,131",0.17
Newtownbutler,95PP19,"2,502",0.14
Portora,95PP20,"3,117",0.17
Rosslea,95PP21,"2,167",0.12
Rossorry,95PP22,"2,444",0.13
Tempo,95PP23,"2,590",0.14
Antiville,95QQ01,"1,483",0.08
Ballycarry,95QQ02,"2,582",0.14
Ballyloran,95QQ03,"1,096",0.06
Blackcave,95QQ04,"1,635",0.09
Carncastle,95QQ05,"2,875",0.16
Carnlough,95QQ06,"2,041",0.11
Central (Larne LGD),95QQ07,"1,817",0.1
Craigy Hill,95QQ08,"1,455",0.08
Gardenmore,95QQ09,"1,916",0.11
Glenarm,95QQ10,"1,851",0.1
Glynn,95QQ11,"2,027",0.11
Harbour (Larne LGD),95QQ12,"1,811",0.1
Island Magee,95QQ13,"2,568",0.14
Kilwaughter,95QQ14,"5,430",0.3
Town Parks,95QQ15,"1,593",0.09
Aghanloo,95RR01,"4,367",0.24
Ballykelly,95RR02,"1,753",0.1
Coolessan,95RR03,"1,422",0.08
Dungiven,95RR04,"2,022",0.11
Enagh (Limavady LGD),95RR05,"2,487",0.14
Feeny,95RR06,"2,206",0.12
Forest,95RR07,"2,449",0.14
Glack,95RR08,"2,106",0.12
Gresteel,95RR09,"3,671",0.2
Greystone (Limavady LGD),95RR10,"1,338",0.07
Magilligan,95RR11,"2,407",0.13
Rathbrady,95RR12,"1,452",0.08
Roeside,95RR13,"1,429",0.08
The Highlands,95RR14,"1,969",0.11
Upper Glenshane,95RR15,"2,458",0.14
Ballinderry,95SS01,"5,128",0.28
Ballymacash,95SS02,"4,287",0.24
Ballymacbrennan,95SS03,"3,372",0.19
Ballymacoss,95SS04,"7,572",0.42
Blaris,95SS05,"3,375",0.19
Collin Glen,95SS06,"5,899",0.33
Derryaghy,95SS07,"9,464",0.52
Dromara,95SS08,"4,698",0.26
Drumbo,95SS09,"3,364",0.19
Dunmurry,95SS10,"4,379",0.24
Glenavy,95SS11,"5,697",0.31
Harmony Hill,95SS12,"3,054",0.17
Hilden,95SS13,"2,904",0.16
Hillhall,95SS14,"2,905",0.16
Hillsborough,95SS15,"3,758",0.21
Kilwee,95SS16,"3,164",0.17
Knockmore,95SS17,"4,298",0.24
Lagan Valley,95SS18,"3,053",0.17
Lambeg,95SS19,"2,737",0.15
Lisnagarvy,95SS20,"2,605",0.14
Maghaberry,95SS21,"4,716",0.26
Magheralave,95SS22,"3,290",0.18
Maze,95SS23,"3,816",0.21
Moira,95SS24,"5,139",0.28
Old Warren,95SS25,"2,589",0.14
Poleglass,95SS26,"3,781",0.21
Seymour Hill,95SS27,"2,502",0.14
Tonagh,95SS28,"2,594",0.14
Twinbrook,95SS29,"2,647",0.15
Wallace Park,95SS30,"3,378",0.19
Ballymaguigan,95TT01,"2,748",0.15
Bellaghy,95TT02,"2,685",0.15
Castledawson,95TT03,"3,329",0.18
Draperstown,95TT04,"2,984",0.16
Glebe (Magherafelt LGD),95TT05,"3,079",0.17
Gulladuff,95TT06,"2,723",0.15
Knockcloghrim,95TT07,"2,747",0.15
Lecumpher,95TT08,"2,724",0.15
Lower Glenshane,95TT09,"2,917",0.16
Maghera,95TT10,"2,852",0.16
Swatragh,95TT11,"3,291",0.18
Tobermore,95TT12,"2,641",0.15
Town Parks East,95TT13,"2,918",0.16
Town Parks West,95TT14,"2,211",0.12
Upperlands,95TT15,"2,498",0.14
Valley (Magherafelt LGD),95TT16,"2,691",0.15
Armoy,95UU01,"1,097",0.06
Ballylough,95UU02,"1,043",0.06
Bonamargy and Rathlin,95UU03,879,0.05
Bushmills,95UU04,738,0.04
Carnmoon,95UU05,993,0.05
Dalriada,95UU06,"1,452",0.08
Dunseverick,95UU07,813,0.04
Glenaan,95UU08,"1,205",0.07
Glenariff,95UU09,"1,690",0.09
Glendun,95UU10,"1,216",0.07
Glenshesk,95UU11,993,0.05
Glentaisie,95UU12,"1,354",0.07
Kinbane,95UU13,897,0.05
Knocklayd,95UU14,"1,732",0.1
Moss-Side and Moyarget,95UU15,948,0.05
Annalong,95VV01,"3,211",0.18
Ballybot,95VV02,"2,192",0.12
Bessbrook,95VV03,"2,579",0.14
Binnian,95VV04,"3,138",0.17
Burren and Kilbroney,95VV05,"4,506",0.25
Camlough,95VV06,"3,482",0.19
Clonallan,95VV07,"4,393",0.24
Creggan,95VV08,"3,088",0.17
Crossmaglen,95VV09,"2,665",0.15
Daisy Hill,95VV10,"3,155",0.17
Derryleckagh,95VV11,"4,458",0.25
Derrymore,95VV12,"3,195",0.18
Donaghmore (Newry and Mourne LGD),95VV13,"3,473",0.19
Drumalane,95VV14,"3,352",0.19
Drumgullion,95VV15,"3,098",0.17
Fathom,95VV16,"3,110",0.17
Forkhill,95VV17,"4,356",0.24
Kilkeel Central,95VV18,"3,687",0.2
Kilkeel South,95VV19,"2,983",0.16
Lisnacree,95VV20,"2,990",0.17
Mayobridge,95VV21,"4,037",0.22
Newtownhamilton,95VV22,"2,836",0.16
Rostrevor,95VV23,"2,893",0.16
Seaview,95VV24,"3,067",0.17
Silver Bridge,95VV25,"3,770",0.21
